N, S_est_wide, rel_err_wide, S_est_small, rel_err_small
100, 0.77777088, 0.17654132, 0.98750000, 0.04550771
600, 0.81017800, 0.14223054, 0.95625000, 0.01242202
1100, 0.95453698, 0.01060838, 0.93068182, 0.01464808
1600, 0.88106857, 0.06717571, 0.93359375, 0.01156510
2100, 0.91665853, 0.02949513, 0.92857143, 0.01688244
2600, 0.86751367, 0.08152686, 0.95432692, 0.01038598
3100, 0.91889866, 0.02712341, 0.93790323, 0.00700248
3600, 0.98571656, 0.04361951, 0.93368056, 0.01147320
4100, 0.99592612, 0.05442880, 0.95152439, 0.00741882
4600, 1.01659726, 0.07631420, 0.94864130, 0.00436638
5100, 0.97411990, 0.03134163, 0.94313725, 0.00146099
5600, 0.88714491, 0.06074244, 0.93816964, 0.00672041
6100, 0.98496394, 0.04282267, 0.93155738, 0.01372109
6600, 0.96632139, 0.02308503, 0.94090909, 0.00382004
7100, 0.96399771, 0.02062484, 0.94982394, 0.00561849
7600, 0.90441449, 0.04245841, 0.94440789, 0.00011571
8100, 0.93020437, 0.01515358, 0.94320988, 0.00138410
8600, 0.93603821, 0.00897705, 0.93255814, 0.01266154
9100, 0.91986363, 0.02610175, 0.94725275, 0.00289625
9600, 0.96411182, 0.02074566, 0.93776042, 0.00715368
10100, 0.95488702, 0.01097898, 0.94146040, 0.00323635
10600, 0.89700462, 0.05030355, 0.94634434, 0.00193448
11100, 0.90739936, 0.03929821, 0.94324324, 0.00134878
11600, 0.88672585, 0.06118612, 0.94094828, 0.00377855
12100, 0.93927082, 0.00555455, 0.94669421, 0.00230491
12600, 0.92437451, 0.02132589, 0.94365079, 0.00091729
13100, 0.92026325, 0.02567866, 0.95143130, 0.00732026
13600, 0.95863120, 0.01494310, 0.94439338, 0.00013108
14100, 0.94532258, 0.00085271, 0.93945035, 0.00536447
14600, 0.91627802, 0.02989799, 0.93784247, 0.00706681
15100, 0.95740504, 0.01364492, 0.95157285, 0.00747013
15600, 0.90490650, 0.04193750, 0.93782051, 0.00709005
16100, 0.92632028, 0.01926583, 0.95163043, 0.00753110
16600, 0.97807030, 0.03552409, 0.94766566, 0.00333342
17100, 0.90285099, 0.04411375, 0.95182749, 0.00773972
17600, 0.95177501, 0.00768417, 0.93991477, 0.00487277
18100, 0.92924283, 0.01617160, 0.94682320, 0.00244148
18600, 0.94137456, 0.00332723, 0.94408602, 0.00045649
19100, 0.98239384, 0.04010161, 0.94509162, 0.00060818
19600, 0.91665853, 0.02949513, 0.94088010, 0.00385073
20100, 0.94125754, 0.00345112, 0.93662935, 0.00835118
20600, 0.93776137, 0.00715267, 0.94417476, 0.00036254
21100, 0.95746912, 0.01371276, 0.94283175, 0.00178444
21600, 0.95601004, 0.01216796, 0.94589120, 0.00145473
22100, 0.95769638, 0.01395336, 0.94739819, 0.00305024
22600, 0.92489346, 0.02077646, 0.94452434, 0.00000757
23100, 0.94654042, 0.00214209, 0.94285714, 0.00175756
23600, 0.91659968, 0.02955743, 0.94491525, 0.00042145
24100, 0.93631027, 0.00868900, 0.94465768, 0.00014874
24600, 0.95363878, 0.00965742, 0.94364837, 0.00091985
25100, 0.94083937, 0.00389386, 0.94392430, 0.00062771
25600, 0.93233765, 0.01289499, 0.94174805, 0.00293180
26100, 0.94949136, 0.00526637, 0.94525862, 0.00078499
26600, 0.94736001, 0.00300982, 0.94553571, 0.00107836
27100, 0.93562105, 0.00941871, 0.94617159, 0.00175158
27600, 0.94156773, 0.00312271, 0.94605978, 0.00163321
28100, 0.93242549, 0.01280198, 0.94737544, 0.00302616
28600, 0.95181751, 0.00772916, 0.94707168, 0.00270455
29100, 0.95283614, 0.00880763, 0.94059278, 0.00415493
29600, 0.96662994, 0.02341170, 0.94358108, 0.00099109
30100, 0.94637403, 0.00196592, 0.93779070, 0.00712162
30600, 0.94425451, 0.00027810, 0.94861111, 0.00433441
31100, 0.92438444, 0.02131539, 0.94835209, 0.00406017
31600, 0.95990709, 0.01629394, 0.95288766, 0.00886217
32100, 0.96767054, 0.02451343, 0.94672897, 0.00234171
32600, 0.95133784, 0.00722132, 0.94451687, 0.00000033
33100, 0.96575175, 0.02248193, 0.94425982, 0.00027249
33600, 0.96179702, 0.01829489, 0.94802827, 0.00371734
34100, 0.96366040, 0.02026772, 0.94780059, 0.00347627
34600, 0.94355296, 0.00102086, 0.94114884, 0.00356621
35100, 0.93288188, 0.01231879, 0.94711538, 0.00275082
35600, 0.98204497, 0.03973224, 0.94680478, 0.00242197
36100, 0.93585658, 0.00916935, 0.93909280, 0.00574303
